iter	Logloss
0	0.5718774113
1	0.485979425
2	0.4287687297
3	0.3873437894
4	0.3549775777
5	0.3336562617
6	0.3176912732
7	0.2979835121
8	0.2854307103
9	0.2751779096
10	0.2670183068
11	0.2627141281
12	0.2574234677
13	0.2534351327
14	0.2503639026
15	0.2473428546
16	0.2444691972
17	0.2417605299
18	0.238070484
19	0.2355052348
20	0.233074697
21	0.231788806
22	0.230682715
23	0.2296580362
24	0.2280027669
25	0.2272544147
26	0.2261162407
27	0.2249413894
28	0.2240154538
29	0.2233616236
30	0.2224583479
31	0.2217623413
32	0.2207693546
33	0.2198884326
34	0.2190249367
35	0.2183801214
36	0.2176565723
37	0.2170353843
38	0.2165475118
39	0.2161054264
40	0.2151720145
41	0.2148161702
42	0.2140600722
43	0.2136119793
44	0.213095906
45	0.2128449429
46	0.2124987621
47	0.212113681
48	0.2115619335
49	0.2110608877
50	0.2104658058
51	0.2101283188
52	0.2092062589
53	0.2088603461
54	0.2085445393
55	0.2080211837
56	0.2077780846
57	0.2072461089
58	0.2069777144
59	0.2066520871
60	0.2063415997
61	0.2057812942
62	0.2054725955
63	0.2052513045
64	0.2049779284
65	0.2041560911
66	0.2038326938
67	0.2035621042
68	0.2032957365
69	0.2028425717
70	0.2022221864
71	0.2020608628
72	0.2014814445
73	0.2012954433
74	0.2009798033
75	0.2008319779
76	0.200228123
77	0.2000366393
78	0.1993209697
79	0.1991119375
80	0.1987159531
81	0.1985815435
82	0.1983790243
83	0.1981018871
84	0.1977757935
85	0.1974896889
86	0.1972866191
87	0.1971703931
88	0.1967133441
89	0.1965519793
90	0.1963458465
91	0.1961004548
92	0.1959111614
93	0.1956021435
94	0.1954656086
95	0.1952994006
96	0.1949620994
97	0.1948202585
98	0.1946733935
99	0.194560192
