iter	Passed	Remaining
0	9	963
1	15	762
2	22	733
3	29	706
4	36	685
5	43	681
6	50	670
7	58	673
8	65	660
9	73	658
10	79	647
11	86	631
12	94	629
13	100	618
14	109	621
15	116	611
16	123	604
17	132	601
18	139	594
19	146	587
20	156	589
21	163	578
22	169	568
23	176	559
24	183	550
25	191	544
26	198	535
27	207	533
28	214	524
29	221	517
30	229	509
31	236	502
32	243	494
33	250	486
34	258	479
35	265	472
36	273	465
37	279	456
38	287	449
39	295	442
40	305	439
41	312	431
42	321	426
43	328	418
44	337	412
45	344	403
46	352	397
47	359	389
48	367	382
49	375	375
50	383	368
51	391	361
52	402	357
53	409	348
54	419	343
55	426	335
56	436	329
57	443	321
58	453	315
59	461	307
60	470	300
61	478	293
62	486	285
63	493	277
64	501	270
65	509	262
66	520	256
67	526	247
68	535	240
69	543	232
70	551	225
71	558	217
72	567	209
73	574	201
74	582	194
75	589	186
76	599	179
77	606	170
78	617	164
79	624	156
80	633	148
81	641	140
82	648	132
83	656	125
84	666	117
85	672	109
86	680	101
87	688	93
88	698	86
89	704	78
90	714	70
91	721	62
92	731	55
93	738	47
94	746	39
95	753	31
96	761	23
97	770	15
98	778	7
99	785	0
